UserID,Timestamp,Device,IP Address,Location
emp014,2025-01-08 08:00:00,Laptop,192.168.95.125,Chicago
emp018,2025-01-03 04:00:00,Desktop,192.168.117.47,Remote
emp009,2025-01-04 18:00:00,Laptop,192.168.88.231,Remote
emp002,2025-01-09 11:00:00,Desktop,192.168.236.116,New York
emp020,2025-01-03 21:00:00,Mobile,192.168.128.15,Chicago
emp015,2025-01-03 19:00:00,Laptop,192.168.188.230,New York
emp007,2025-01-04 16:00:00,Laptop,192.168.191.190,San Francisco
emp012,2025-01-06 19:00:00,Laptop,192.168.68.21,San Francisco
emp008,2025-01-04 06:00:00,Laptop,192.168.92.246,New York
emp015,2025-01-03 02:00:00,Desktop,192.168.194.75,Remote
emp003,2025-01-03 04:00:00,Laptop,192.168.153.143,Remote
emp014,2025-01-03 23:00:00,Mobile,192.168.178.228,New York
emp017,2025-01-04 16:00:00,Mobile,192.168.85.184,New York
emp004,2025-01-06 01:00:00,Laptop,192.168.28.205,San Francisco
emp018,2025-01-09 21:00:00,Mobile,192.168.219.68,Remote
emp008,2025-01-03 04:00:00,Laptop,192.168.46.240,New York
emp004,2025-01-05 00:00:00,Laptop,192.168.93.237,San Francisco
emp002,2025-01-07 01:00:00,Mobile,192.168.189.243,Remote
emp006,2025-01-04 11:00:00,Laptop,192.168.196.203,Chicago
emp010,2025-01-09 05:00:00,Mobile,192.168.143.217,San Francisco
emp004,2025-01-09 03:00:00,Desktop,192.168.217.175,Remote
emp018,2025-01-05 10:00:00,Laptop,192.168.84.38,Remote
emp012,2025-01-09 16:00:00,Desktop,192.168.99.32,San Francisco
emp002,2025-01-07 05:00:00,Mobile,192.168.253.221,Chicago
emp010,2025-01-04 19:00:00,Desktop,192.168.100.22,San Francisco
emp004,2025-01-08 05:00:00,Desktop,192.168.249.9,Remote
emp014,2025-01-09 10:00:00,Mobile,192.168.245.68,New York
emp016,2025-01-03 15:00:00,Desktop,192.168.99.33,New York
emp015,2025-01-06 08:00:00,Desktop,192.168.179.222,San Francisco
emp008,2025-01-07 05:00:00,Mobile,192.168.137.249,Remote
emp014,2025-01-06 02:00:00,Desktop,192.168.146.185,New York
emp008,2025-01-05 03:00:00,Mobile,192.168.95.0,Remote
emp016,2025-01-09 02:00:00,Desktop,192.168.247.68,San Francisco
emp013,2025-01-06 18:00:00,Mobile,192.168.236.3,New York
emp018,2025-01-06 06:00:00,Mobile,192.168.15.23,Remote
emp015,2025-01-03 08:00:00,Desktop,192.168.79.246,New York
emp013,2025-01-09 07:00:00,Desktop,192.168.1.240,San Francisco
emp009,2025-01-03 17:00:00,Desktop,192.168.219.127,Remote
emp015,2025-01-06 10:00:00,Laptop,192.168.159.218,New York
emp013,2025-01-09 17:00:00,Laptop,192.168.83.151,San Francisco
emp001,2025-01-05 09:00:00,Laptop,192.168.139.177,New York
emp007,2025-01-06 06:00:00,Mobile,192.168.162.123,New York
emp009,2025-01-04 15:00:00,Desktop,192.168.32.160,Chicago
emp001,2025-01-03 15:00:00,Mobile,192.168.188.178,Chicago
emp012,2025-01-06 19:00:00,Laptop,192.168.170.100,San Francisco
emp008,2025-01-04 16:00:00,Desktop,192.168.11.66,Chicago
emp011,2025-01-08 00:00:00,Mobile,192.168.64.160,San Francisco
emp019,2025-01-07 11:00:00,Desktop,192.168.167.73,Chicago
emp017,2025-01-05 04:00:00,Mobile,192.168.42.43,New York
emp008,2025-01-03 22:00:00,Desktop,192.168.28.140,San Francisco
emp003,2025-01-05 08:00:00,Laptop,192.168.11.94,San Francisco
emp003,2025-01-05 18:00:00,Laptop,192.168.45.129,New York
emp001,2025-01-08 19:00:00,Desktop,192.168.252.242,San Francisco
emp005,2025-01-03 23:00:00,Mobile,192.168.241.34,San Francisco
emp010,2025-01-06 23:00:00,Laptop,192.168.214.80,Chicago
emp007,2025-01-03 10:00:00,Laptop,192.168.89.7,San Francisco
emp009,2025-01-06 07:00:00,Laptop,192.168.92.153,Remote
emp007,2025-01-06 05:00:00,Desktop,192.168.201.89,New York
emp009,2025-01-08 02:00:00,Desktop,192.168.253.161,Chicago
emp008,2025-01-03 02:00:00,Mobile,192.168.114.104,Chicago
emp012,2025-01-08 17:00:00,Mobile,192.168.134.195,Remote
emp002,2025-01-04 17:00:00,Mobile,192.168.57.244,New York
emp001,2025-01-05 21:00:00,Desktop,192.168.113.236,New York
emp016,2025-01-07 15:00:00,Desktop,192.168.74.156,Chicago
emp005,2025-01-06 08:00:00,Mobile,192.168.119.163,San Francisco
